FREQ,Frequenza,REG_VEHI_AREA,Territorio di immatricolazione automezzo,DATA_TYPE,Indicatore,REG_LOADING,Territorio di carico,REG_UNLOADING,Territorio di scarico,GOODS_TRANSPORT_NST_2007,Tipo di merce (NST 2007),TITLE_OF_TRANSPORT,Titolo di trasporto,DISTANCE_CLASS,Classe di percorrenza,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WRL_X_ITA,Paesi esteri,ITD3,Veneto,ALL,Tutte le voci,ALL,Tutte le voci,TOTAL,Totale,2023,1524872,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WRL_X_ITA,Paesi esteri,ITD4,Friuli-Venezia Giulia,ALL,Tutte le voci,P,Conto proprio,TOTAL,Totale,2023,7717,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WRL_X_ITA,Paesi esteri,ITD4,Friuli-Venezia Giulia,ALL,Tutte le voci,T,Conto terzi,TOTAL,Totale,2023,264842,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WRL_X_ITA,Paesi esteri,ITD4,Friuli-Venezia Giulia,ALL,Tutte le voci,ALL,Tutte le voci,TOTAL,Totale,2023,272559,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WRL_X_ITA,Paesi esteri,ITD5,Emilia-Romagna,ALL,Tutte le voci,T,Conto terzi,TOTAL,Totale,2023,667775,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WRL_X_ITA,Paesi esteri,ITD5,Emilia-Romagna,ALL,Tutte le voci,ALL,Tutte le voci,TOTAL,Totale,2023,667775,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WRL_X_ITA,Paesi esteri,ITE1,Toscana,ALL,Tutte le voci,P,Conto proprio,TOTAL,Totale,2023,3580,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WRL_X_ITA,Paesi esteri,ITE1,Toscana,ALL,Tutte le voci,T,Conto terzi,TOTAL,Totale,2023,180629,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WRL_X_ITA,Paesi esteri,ITE1,Toscana,ALL,Tutte le voci,ALL,Tutte le voci,TOTAL,Totale,2023,184210,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WRL_X_ITA,Paesi esteri,ITE2,Umbria,ALL,Tutte le voci,T,Conto terzi,TOTAL,Totale,2023,62634,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WRL_X_ITA,Paesi esteri,ITE2,Umbria,ALL,Tutte le voci,ALL,Tutte le voci,TOTAL,Totale,2023,62634,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WRL_X_ITA,Paesi esteri,ITE3,Marche,ALL,Tutte le voci,T,Conto terzi,TOTAL,Totale,2023,145594,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WRL_X_ITA,Paesi esteri,ITE3,Marche,ALL,Tutte le voci,ALL,Tutte le voci,TOTAL,Totale,2023,145594,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WRL_X_ITA,Paesi esteri,ITE4,Lazio,ALL,Tutte le voci,T,Conto terzi,TOTAL,Totale,2023,246693,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WRL_X_ITA,Paesi esteri,ITE4,Lazio,ALL,Tutte le voci,ALL,Tutte le voci,TOTAL,Totale,2023,246693,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WRL_X_ITA,Paesi esteri,ITF1,Abruzzo,ALL,Tutte le voci,P,Conto proprio,TOTAL,Totale,2023,1808,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WRL_X_ITA,Paesi esteri,ITF1,Abruzzo,ALL,Tutte le voci,T,Conto terzi,TOTAL,Totale,2023,101617,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WRL_X_ITA,Paesi esteri,ITF1,Abruzzo,ALL,Tutte le voci,ALL,Tutte le voci,TOTAL,Totale,2023,103425,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WRL_X_ITA,Paesi esteri,ITF2,Molise,ALL,Tutte le voci,T,Conto terzi,TOTAL,Totale,2023,12444,,
